iter	Passed	Remaining
861	3468	2567
862	3472	2562
863	3475	2558
864	3479	2554
865	3483	2550
866	3487	2546
867	3490	2541
868	3494	2537
869	3497	2532
870	3501	2528
871	3505	2524
872	3508	2519
873	3512	2515
874	3516	2512
875	3520	2507
876	3523	2503
877	3528	2499
878	3532	2495
879	3535	2491
880	3539	2486
881	3542	2482
882	3546	2477
883	3549	2473
884	3553	2469
885	3556	2464
886	3559	2460
887	3562	2455
888	3565	2450
889	3569	2446
890	3572	2441
891	3576	2437
892	3584	2436
893	3589	2433
894	3594	2429
895	3598	2425
896	3602	2421
897	3607	2418
898	3612	2414
899	3618	2412
900	3623	2408
901	3629	2406
902	3638	2405
903	3642	2401
904	3646	2397
905	3649	2392
906	3652	2388
907	3658	2384
908	3661	2380
909	3664	2376
910	3668	2371
911	3672	2367
912	3675	2363
913	3679	2358
914	3682	2354
915	3685	2349
916	3688	2345
917	3692	2340
918	3694	2335
919	3698	2331
920	3701	2326
921	3704	2322
922	3708	2318
923	3711	2313
924	3717	2310
925	3720	2306
926	3724	2302
927	3729	2298
928	3732	2294
929	3736	2289
930	3738	2285
931	3742	2280
932	3745	2276
933	3748	2271
934	3751	2267
935	3756	2263
936	3760	2259
937	3763	2254
938	3766	2250
939	3771	2246
940	3777	2244
941	3783	2240
942	3788	2238
943	3793	2234
944	3797	2230
945	3801	2226
946	3805	2222
947	3810	2218
948	3815	2215
949	3819	2211
950	3823	2207
951	3828	2204
952	3836	2201
953	3840	2198
954	3844	2193
955	3849	2190
956	3853	2186
957	3856	2181
958	3859	2177
959	3862	2172
960	3865	2168
961	3869	2164
962	3873	2159
963	3877	2155
964	3881	2151
965	3884	2147
966	3887	2142
967	3891	2138
968	3894	2134
969	3898	2129
970	3900	2125
971	3903	2120
972	3907	2116
973	3911	2112
974	3914	2107
975	3917	2103
976	3921	2099
977	3924	2094
978	3928	2090
979	3931	2085
980	3933	2081
981	3936	2076
982	3939	2071
983	3942	2067
984	3944	2062
985	3947	2057
986	3951	2053
987	3955	2049
988	3958	2045
989	3961	2040
990	3969	2038
991	3975	2035
992	3980	2032
993	3985	2028
994	3989	2025
995	3994	2021
996	3999	2017
997	4004	2014
998	4010	2011
999	4014	2007
1000	4019	2003
1001	4028	2002
1002	4032	1998
1003	4037	1994
1004	4042	1991
1005	4046	1987
1006	4049	1982
1007	4054	1978
1008	4058	1974
1009	4061	1970
1010	4064	1965
1011	4067	1961
1012	4071	1957
1013	4073	1952
1014	4077	1948
1015	4079	1943
1016	4083	1939
1017	4086	1935
1018	4090	1930
1019	4093	1926
1020	4097	1922
1021	4099	1917
1022	4102	1912
1023	4106	1908
1024	4110	1904
1025	4113	1900
1026	4116	1895
1027	4119	1891
1028	4122	1886
1029	4125	1882
1030	4128	1878
1031	4131	1873
1032	4135	1869
1033	4140	1865
1034	4143	1861
1035	4147	1857
1036	4150	1853
1037	4153	1848
1038	4156	1844
1039	4160	1840
1040	4170	1838
1041	4177	1836
1042	4183	1833
1043	4188	1829
1044	4193	1825
1045	4198	1822
1046	4202	1818
1047	4207	1814
1048	4211	1810
1049	4216	1806
1050	4219	1802
1051	4224	1798
1052	4229	1795
1053	4234	1791
1054	4238	1787
1055	4242	1783
1056	4248	1780
1057	4252	1776
1058	4256	1772
1059	4260	1768
1060	4263	1764
1061	4266	1759
1062	4269	1755
1063	4272	1750
1064	4276	1746
1065	4279	1742
1066	4282	1737
1067	4286	1733
1068	4289	1729
1069	4292	1725
1070	4295	1720
1071	4298	1716
1072	4302	1712
1073	4305	1707
1074	4308	1703
1075	4312	1699
1076	4315	1695
1077	4319	1690
1078	4322	1686
1079	4325	1682
1080	4329	1678
1081	4332	1673
1082	4335	1669
1083	4339	1665
1084	4341	1660
1085	4344	1656
1086	4347	1651
1087	4351	1647
1088	4354	1643
1089	4356	1638
1090	4359	1634
1091	4361	1629
1092	4366	1625
1093	4370	1621
1094	4375	1618
1095	4380	1614
1096	4384	1610
1097	4390	1607
1098	4395	1603
1099	4398	1599
1100	4403	1595
1101	4408	1592
1102	4413	1588
1103	4417	1584
1104	4423	1581
1105	4429	1577
1106	4436	1574
1107	4440	1570
1108	4443	1566
1109	4446	1562
1110	4450	1558
1111	4455	1554
1112	4458	1550
1113	4461	1545
1114	4464	1541
1115	4467	1537
1116	4471	1533
1117	4476	1529
1118	4478	1524
1119	4481	1520
1120	4484	1516
1121	4487	1511
1122	4491	1507
1123	4493	1503
1124	4496	1498
1125	4500	1494
1126	4502	1490
1127	4505	1485
1128	4508	1481
1129	4511	1477
1130	4517	1473
1131	4521	1469
1132	4523	1465
1133	4526	1461
1134	4529	1456
1135	4534	1452
1136	4538	1448
1137	4541	1444
1138	4544	1440
1139	4548	1436
1140	4553	1432
1141	4556	1428
1142	4566	1426
1143	4573	1423
1144	4578	1419
1145	4588	1417
1146	4594	1413
1147	4600	1410
1148	4606	1407
1149	4610	1403
1150	4615	1399
1151	4620	1395
1152	4624	1391
1153	4629	1387
1154	4632	1383
1155	4637	1380
1156	4642	1376
1157	4648	1372
1158	4651	1368
1159	4655	1364
1160	4660	1360
1161	4665	1357
1162	4669	1353
1163	4672	1348
1164	4676	1344
1165	4680	1340
1166	4683	1336
1167	4687	1332
1168	4690	1328
1169	4693	1323
1170	4697	1319
1171	4701	1315
1172	4704	1311
1173	4707	1307
1174	4710	1302
1175	4713	1298
1176	4717	1294
1177	4720	1290
1178	4722	1285
1179	4726	1281
1180	4729	1277
1181	4732	1273
1182	4736	1269
1183	4739	1264
1184	4742	1260
1185	4746	1256
1186	4749	1252
1187	4752	1248
1188	4755	1243
1189	4758	1239
1190	4763	1235
1191	4768	1232
1192	4772	1228
1193	4777	1224
1194	4781	1220
1195	4785	1216
1196	4789	1212
1197	4794	1208
1198	4799	1204
1199	4803	1200
1200	4808	1197
1201	4812	1193
1202	4817	1189
1203	4822	1185
1204	4827	1181
1205	4837	1179
1206	4841	1175
1207	4846	1171
1208	4851	1167
1209	4855	1163
1210	4860	1159
1211	4863	1155
1212	4866	1151
1213	4870	1147
1214	4873	1143
1215	4877	1139
1216	4881	1135
1217	4884	1130
1218	4888	1126
1219	4891	1122
1220	4894	1118
1221	4897	1114
1222	4900	1109
1223	4903	1105
1224	4907	1101
1225	4910	1097
1226	4914	1093
1227	4917	1089
1228	4920	1084
1229	4923	1080
1230	4926	1076
1231	4929	1072
1232	4933	1068
1233	4936	1064
1234	4939	1059
1235	4942	1055
1236	4945	1051
1237	4948	1047
1238	4952	1043
1239	4959	1039
1240	4964	1036
1241	4969	1032
1242	4973	1028
1243	4978	1024
1244	4982	1020
1245	4987	1016
1246	4991	1012
1247	4996	1008
1248	5001	1005
1249	5006	1001
1250	5011	997
1251	5015	993
1252	5018	989
1253	5023	985
1254	5028	981
1255	5033	977
1256	5038	974
1257	5044	970
1258	5048	966
1259	5051	962
1260	5055	958
1261	5061	954
1262	5064	950
1263	5068	946
1264	5071	942
1265	5074	937
1266	5077	933
1267	5080	929
1268	5084	925
1269	5087	921
1270	5091	917
1271	5094	913
1272	5097	908
1273	5100	904
1274	5103	900
1275	5107	896
1276	5109	892
1277	5113	888
1278	5116	884
1279	5119	879
1280	5124	876
1281	5127	871
1282	5131	867
1283	5134	863
1284	5139	859
1285	5143	855
1286	5146	851
1287	5150	847
1288	5158	844
1289	5163	840
1290	5169	836
1291	5174	833
1292	5179	829
1293	5183	825
1294	5189	821
1295	5193	817
1296	5198	813
1297	5204	809
1298	5208	805
1299	5213	802
1300	5219	798
1301	5224	794
1302	5233	791
1303	5237	787
1304	5242	783
1305	5245	779
1306	5249	775
1307	5254	771
1308	5257	767
1309	5261	763
1310	5265	759
1311	5268	754
1312	5271	750
1313	5275	746
1314	5279	742
1315	5282	738
1316	5285	734
1317	5288	730
1318	5292	726
1319	5294	721
1320	5297	717
1321	5300	713
1322	5303	709
1323	5307	705
1324	5310	701
1325	5314	697
1326	5317	693
1327	5320	689
1328	5323	684
1329	5326	680
1330	5330	676
1331	5334	672
1332	5338	668
1333	5341	664
1334	5344	660
1335	5347	656
1336	5351	652
1337	5358	648
1338	5366	645
1339	5371	641
1340	5376	637
1341	5380	633
1342	5384	629
1343	5388	625
1344	5394	621
1345	5398	617
1346	5402	613
1347	5407	609
1348	5412	605
1349	5416	601
1350	5421	597
1351	5425	593
1352	5435	590
1353	5440	586
1354	5445	582
1355	5449	578
1356	5453	574
1357	5457	570
1358	5460	566
1359	5463	562
1360	5466	558
1361	5470	554
1362	5473	550
1363	5477	546
1364	5480	542
1365	5483	537
1366	5486	533
1367	5489	529
1368	5493	525
1369	5496	521
1370	5499	517
1371	5502	513
1372	5505	509
1373	5509	505
1374	5512	501
1375	5515	497
1376	5519	492
1377	5522	488
1378	5525	484
